lon,lat
51.39820576,35.65910944
51.40809774,35.65811568
51.41174555,35.65853411
51.42687321,35.65945813
51.43485546,35.65945813
51.4451766,35.66071339
51.44815922,35.70195158
51.43901825,35.69923324
51.43721581,35.69923324
51.44028425,35.70614218
51.43976927,35.7067346
51.43451214,35.7064471
51.43378258,35.70679558
51.43936157,35.71543739
51.44064903,35.71735379
51.439147,35.71794612
51.44099236,35.72386921
51.43725872,35.72451376
51.41054392,35.72378211
51.40936375,35.72282399
51.40863419,35.72097741
51.38949394,35.71425268
51.39640331,35.66151535
51.39820576,35.65910944
